observation_id,period_start,period_end,period_basis,accounting_date,geography,flow_class,flow_subclass,accounting_state,gross_or_net,amount_nominal_usd,amount_original,unit_original,source_id,item_identifier,table_or_statement,page_or_frame,transcription_method,verification_status,reconciliation_group,notes
AFB-P1OBS-0011,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,asset_income,bank_dividend_excess,received_into_treasury,net,8028.00,"8028 dollars 00 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"first half-year dividend excess beyond interest payable to Bank"
AFB-P1OBS-0012,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,internal_revenue,distilled_spirits,received_into_treasury,not_stated,208942.81,"208942 dollars 81 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"cash received from supervisors; not estimated product"
AFB-P1OBS-0013,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,customs,imports_and_tonnage,received_into_treasury,not_stated,3443070.85,"3443070 dollars 85 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_primary_candidate,AFB-P1-1792-A,"cash received from customs collectors; combined imports and tonnage"
AFB-P1OBS-0014,1792-01-01,1792-03-31,calendar_quarter,1792-03-31,national,expenditure,total_quarter_expenditure,paid,not_stated,1191909.38,"1191909 dollars 38 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_aggregate_only,AFB-P1-1792-A,"settled Treasurer account; purpose composition not shown on this image"
AFB-P1OBS-0015,1792-04-01,1792-06-30,calendar_quarter,1792-06-30,national,expenditure,total_quarter_expenditure,unknown,not_stated,3552430.25,"3552430 dollars 25 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_excluded_debt_service,AFB-P1-1792-A,"quarter includes part of 4 million dollars in Bank-subscription warrants later canceled at Treasury; requires disaggregation"
AFB-P1OBS-0016,1792-07-01,1792-09-30,calendar_quarter,1792-09-30,national,expenditure,total_quarter_expenditure,unknown,not_stated,2972759.81,"2972759 dollars 81 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_excluded_debt_service,AFB-P1-1792-A,"quarter includes part of 4 million dollars in Bank-subscription warrants later canceled at Treasury; requires disaggregation"
AFB-P1OBS-0017,1792-10-01,1792-12-31,calendar_quarter,1792-12-31,national,expenditure,total_quarter_expenditure,unknown,not_stated,1250592.61,"1250592 dollars 61 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_aggregate_only,AFB-P1-1792-A,"account rendered for settlement but not formally settled when transmitted"
AFB-P1OBS-0018,1792-12-31,1792-12-31,closing_balance,1792-12-31,national,balance,treasury_closing_balance,received_into_treasury,not_applicable,783444.51,"783444 dollars 51 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_excluded_from_expenditure,AFB-P1-1792-A,"closing stock; not expenditure"
AFB-P1OBS-0019,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,control_total,statement_A_both_sides,unknown,not_applicable,9751136.56,"9751136 dollars 56 cents",dollars,AFB-P1SRC-0001,FRASER-5631,"Statement A: General account of Receipts and Expenditures of Public Moneys",PDF-image-17,"manual_image_pass_1+OCR_crosscheck_pass_2",verified_exact_arithmetic_control,AFB-P1-1792-A,"each printed side sums exactly to control total; excludes no components"
AFB-P1OBS-0020,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,late_board_of_treasury_warrants,paid,not_stated,33.33,33.33 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,For discharging warrants issued by the late Board of Treasury
AFB-P1OBS-0021,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,civil_list_late_and_present_government,paid,not_stated,327711.80,327711.80 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Support of the civil list under the late and present governments
AFB-P1OBS-0022,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,army_of_the_united_states,paid,not_stated,1116687.32,1116687.32 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Army of the United States
AFB-P1OBS-0023,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,pensions_to_invalids,paid,not_stated,108800.15,108800.15 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Pensions due to invalids
AFB-P1OBS-0024,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,indian_treaties_and_peace,paid,not_stated,0.00,0.00 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_zero_payment,AFB-P1-1792-APPROP-B,Expenses of negotiating and keeping peace with Indian tribes
AFB-P1OBS-0025,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,temporary_loan_interest,paid,not_stated,0.00,0.00 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_zero_payment,AFB-P1-1792-APPROP-B,Interest due on temporary loans obtained by the Secretary of the Treasury
AFB-P1OBS-0026,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,foreign_intercourse,paid,not_stated,78766.67,78766.67 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Ministers and agents abroad and foreign intercourse
AFB-P1OBS-0027,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,morocco_emperor_recognition,paid,not_stated,0.00,0.00 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_zero_payment,AFB-P1-1792-APPROP-B,Effecting recognition of the treaty with the new Emperor of Morocco
AFB-P1OBS-0028,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,revenue_cutters_building_and_support,paid,not_stated,53.02,53.02 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Building equipping and supporting revenue cutters
AFB-P1OBS-0029,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,abraham_skinner_prisoner_commissary_arrears,paid,not_stated,0.00,0.00 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_zero_payment,AFB-P1-1792-APPROP-B,Arrears of debts contracted by Abraham Skinner as commissary of prisoners
AFB-P1OBS-0030,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,timothy_pickering_quartermaster_arrears,paid,not_stated,2606.18,2606.18 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Arrears of debts contracted by Colonel Timothy Pickering
AFB-P1OBS-0031,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,interest_public_debt_foreign_and_domestic,paid,not_stated,2374054.28,2374054.28 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid_with_scope_correction,AFB-P1-1792-APPROP-B,"Printed heading says domestic debt; footnote corrects scope to the entire public debt, foreign as well as domestic; balance includes two years' foreign interest paid from foreign loans and some unsettled or suspended domestic interest"
AFB-P1OBS-0032,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,foreign_loan_bills_commissions,paid,not_stated,152.38,152.38 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,"Bills of exchange drawn on late commissioners of foreign loans, with interest and commission"
AFB-P1OBS-0033,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,lighthouses_beacons_buoys_and_public_piers,paid,not_stated,28265.04,28265.04 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,"Support and repairs of lighthouses, beacons, buoys, and public piers"
AFB-P1OBS-0034,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,contingent_government_charges,paid,not_stated,471.80,471.80 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Contingent charges of government
AFB-P1OBS-0035,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,reduction_of_public_debt,paid,not_stated,257786.42,257786.42 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Reduction of the public debt
AFB-P1OBS-0036,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,first_census_expense,paid,not_stated,1259.29,1259.29 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Expenses due on enumeration of inhabitants of the United States
AFB-P1OBS-0037,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,miscellaneous_claims,paid,not_stated,14652.61,14652.61 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,Miscellaneous claims
AFB-P1OBS-0038,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,balances_due_governor_of_poland_and_oliver_pollock,paid,not_stated,202773.14,202773.14 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid,AFB-P1-1792-APPROP-B,"Balances due to the Governor of Poland, Oliver Pollock, and others"
AFB-P1OBS-0039,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,debts_due_foreign_officers,paid,not_stated,18354.79,18354.79 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid_from_foreign_funds,AFB-P1-1792-APPROP-B,Debt due to foreign officers; statement and page 44 note identify foreign-fund treatment
AFB-P1OBS-0040,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,expenditure,french_debt,paid,not_stated,435263.83,435263.83 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_paid_from_foreign_funds,AFB-P1-1792-APPROP-B,"Payments on account of the French debt; footnote states warrants of 445263.83 were drawn, of which 10000 had not been paid by the Treasurer and were not charged"
AFB-P1OBS-0041,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,accounting_loop,bank_of_united_states_subscription,paid,not_stated,4000000.00,4000000.00 dollars,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_excluded_primary,AFB-P1-1792-APPROP-B,Bank of the United States stock subscription; preserve for printed-total reconciliation but exclude as the canceled circular subscription transaction documented in Statement A
AFB-P1OBS-0042,1792-01-01,1792-12-31,calendar_year,1792-12-31,national,control_total,statement_B_payments,paid,not_applicable,8967692.05,8967692 dollars 05 cents,dollars,AFB-P1SRC-0001,FRASER-5631,Statement B: General Statement of the Appropriations made by law and of the Expenditures of the United States,PDF-images-42-44,manual_image_pass_1+OCR_crosscheck_pass_2,verified_exact_arithmetic_control,AFB-P1-1792-APPROP-B,Sum of all 22 printed payment-purpose columns equals the printed total exactly; substantive payments excluding the 4 million dollar Bank subscription equal 4967692.05
